"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","74","should fail to retrieve my orders without authentication","api","2026-08-09","passed","2026-08-09","Order API - Unauthorized Access","api/orders.spec.ts","",""
"","785","Login page matches the baseline visual snapshot","chromium","2026-08-09","passed","2026-08-09","Login Page - Visual Regression","ui/visual/visual.spec.ts","",""
"","2845","Clear Cart","webkit","2026-08-09","passed","2026-08-09","Cart Page","ui/cart/cart.spec.ts","",""
"","2022","Sort by price (low to high)","firefox","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","205","should fail to retrieve an order with invalid ID","api","2026-08-09","passed","2026-08-09","Placing Orders","api/orders.spec.ts","",""
"","600","Sort by price (low to high)","chromium","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","18","should get product by ID","api","2026-08-09","passed","2026-08-09","Product Query Tests","api/products.spec.ts","",""
"","869","Checkout form accepts non-Latin characters","chromium","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","895","Logout","firefox","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","3866","Should surface the server message and keep the cart when placing an order fails","webkit","2026-08-09","passed","2026-08-09","Checkout Page - Order Failures","ui/checkout/checkout.spec.ts","",""
"","97","unauthenticated access to admin list, stats and delete should be 401","api","2026-08-09","passed","2026-08-09","User Profile","api/users.spec.ts","",""
"","2120","Should show loading spinner when product API is delayed","webkit","2026-08-09","passed","2026-08-09","Home Page Network Failures","ui/catalog/home.spec.ts","",""
"","1923","Empty Cart page matches the baseline visual snapshot","chromium","2026-08-09","passed","2026-08-09","Empty Page - Visual Regression","ui/visual/visual.spec.ts","",""
"","209","an order round-trips single-character values","api","2026-08-09","passed","2026-08-09","Order Shipping Address","api/orders.spec.ts","",""
"","744","Verify product deletion","webkit","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","205","should fail to create an order with invalid product ID","api","2026-08-09","passed","2026-08-09","Placing Orders","api/orders.spec.ts","",""
"","922","empty password","firefox","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","1380","empty email","webkit","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","2176","Verify admin products table","webkit","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","1250","Verify product form error handling","webkit","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","29","Product Query: keyword search matches a word shared by two product names","api","2026-08-09","passed","2026-08-09","Product Query Tests","api/products.spec.ts","",""
"","8","Product Query: invalid sort value should be rejected","api","2026-08-09","passed","2026-08-09","Product Query Tests","api/products.spec.ts","",""
"","1044","Filter by category","webkit","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","200","should list the stats for admin","api","2026-08-09","passed","2026-08-09","Admin User Management","api/users.spec.ts","",""
"","1120","Checkout form accepts apostrophes, periods and hyphens","firefox","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","19","register should reject a malformed email","api","2026-08-09","passed","2026-08-09","Auth Validation","api/auth.spec.ts","",""
"","297","an order round-trips non-Latin characters","api","2026-08-09","passed","2026-08-09","Order Shipping Address","api/orders.spec.ts","",""
"","214","should fail to create an order with invalid data","api","2026-08-09","passed","2026-08-09","Placing Orders","api/orders.spec.ts","",""
"","397","should remove a user for admin","api","2026-08-09","passed","2026-08-09","Admin User Management","api/users.spec.ts","",""
"","612","Verify product editing","chromium","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","4391","Verify product creation","webkit","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","792","Register page matches the baseline visual snapshot","chromium","2026-08-09","passed","2026-08-09","Register Page - Visual Regression","ui/visual/visual.spec.ts","",""
"","770","Should keep products grid working even if categories API fails with 500","firefox","2026-08-09","passed","2026-08-09","Home Page Network Failures","ui/catalog/home.spec.ts","",""
"","3127","Reloading the page retains the current state","webkit","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","3513","Should show the fallback error when placing an order fails with no message","webkit","2026-08-09","passed","2026-08-09","Checkout Page - Order Failures","ui/checkout/checkout.spec.ts","",""
"","1031","Out of stock Product","firefox","2026-08-09","passed","2026-08-09","Product Page","ui/catalog/product.spec.ts","",""
"","992","Grid renders seeded products","webkit","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","14","Product Query: keyword search finds nothing for a nonsense keyword","api","2026-08-09","passed","2026-08-09","Product Query Tests","api/products.spec.ts","",""
"","192","create should reject empty body","api","2026-08-09","passed","2026-08-09","Product Create Validation","api/products.spec.ts","",""
"","886","Checkout form accepts accented Latin characters","chromium","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","728","Verify seeded users protected from deletion","webkit","2026-08-09","passed","2026-08-09","Admin Page > Admin Users","ui/admin/admin.spec.ts","",""
"","23","login should reject a malformed email","api","2026-08-09","passed","2026-08-09","Auth Validation","api/auth.spec.ts","",""
"","1840","Reloading the page retains the current state","firefox","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","728","Search matches a word shared by two product names","chromium","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","1048","Search finds nothing for a category name that no product name contains","firefox","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","3558","Summary totals over the free-shipping threshold","webkit","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","118","an order round-trips plain ASCII values","api","2026-08-09","passed","2026-08-09","Order Shipping Address","api/orders.spec.ts","",""
"","1160","Verify admin orders table","chromium","2026-08-09","passed","2026-08-09","Admin Page > Admin Orders","ui/admin/admin.spec.ts","",""
"","12","should get product categories","api","2026-08-09","passed","2026-08-09","Product Query Tests","api/products.spec.ts","",""
"","208","non-admin access to admin list, stats and delete should be 403","api","2026-08-09","passed","2026-08-09","Default User","api/users.spec.ts","",""
"","2337","Search matches a word shared by two product names","webkit","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","643","empty password","chromium","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","11","Product Query: keyword search matches mixed case","api","2026-08-09","passed","2026-08-09","Product Query Tests","api/products.spec.ts","",""
"","2296","Search finds nothing for a nonsense keyword","webkit","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","701","Update name and address","chromium","2026-08-09","passed","2026-08-09","Profile Page New User","ui/profile/profile.spec.ts","",""
"","885","Summary totals over the free-shipping threshold","firefox","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","17","Product Query: product category filter should return relevant products","api","2026-08-09","passed","2026-08-09","Product Query Tests","api/products.spec.ts","",""
"","252","Verify change order status","firefox","2026-08-09","passed","2026-08-09","Admin Page > Admin Orders","ui/admin/admin.spec.ts","",""
"","682","Search finds nothing for a category name that no product name contains","chromium","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","1672","register test","webkit","2026-08-09","passed","2026-08-09","Register Page","ui/auth/register.spec.ts","",""
"","1051","Should surface the server message and keep the cart when placing an order fails","chromium","2026-08-09","passed","2026-08-09","Checkout Page - Order Failures","ui/checkout/checkout.spec.ts","",""
"","108","login should reject an empty body","api","2026-08-09","passed","2026-08-09","Auth Validation","api/auth.spec.ts","",""
"","1874","Should display the empty state when the orders API returns 500","chromium","2026-08-09","passed","2026-08-09","Order Page - Network Failures","ui/orders/orders.spec.ts","",""
"","923","Clear Cart","chromium","2026-08-09","passed","2026-08-09","Cart Page","ui/cart/cart.spec.ts","",""
"","23","login should reject a missing email","api","2026-08-09","passed","2026-08-09","Auth Validation","api/auth.spec.ts","",""
"","763","not an email","chromium","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","931","Should display empty state when products API return 500","webkit","2026-08-09","passed","2026-08-09","Home Page Network Failures","ui/catalog/home.spec.ts","",""
"","19","Product Query: keyword search matches a word from one product name","api","2026-08-09","passed","2026-08-09","Product Query Tests","api/products.spec.ts","",""
"","567","Verify the placed order details","chromium","2026-08-09","passed","2026-08-09","Order Page","ui/orders/orders.spec.ts","",""
"","111","should delete a product","api","2026-08-09","passed","2026-08-09","Product Management Tests","api/products.spec.ts","",""
"","168","order totals with a subtotal a cent over the threshold","api","2026-08-09","passed","2026-08-09","Tax and Shipping Calculation","api/orders.spec.ts","",""
"","1209","Clear Cart","firefox","2026-08-09","passed","2026-08-09","Cart Page","ui/cart/cart.spec.ts","",""
"","204","an order round-trips apostrophes, periods and hyphens","api","2026-08-09","passed","2026-08-09","Order Shipping Address","api/orders.spec.ts","",""
"","1062","Search finds nothing for a nonsense keyword","firefox","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","1143","Add quantity and cart increment","firefox","2026-08-09","passed","2026-08-09","Product Page","ui/catalog/product.spec.ts","",""
"","244","should create an order successfully","api","2026-08-09","passed","2026-08-09","Placing Orders","api/orders.spec.ts","",""
"","757","Out of stock Product","chromium","2026-08-09","passed","2026-08-09","Product Page","ui/catalog/product.spec.ts","",""
"","18","Product Query: product sorting should return products in correct order","api","2026-08-09","passed","2026-08-09","Product Query Tests","api/products.spec.ts","",""
"","193","create should reject missing countInStock","api","2026-08-09","passed","2026-08-09","Product Create Validation","api/products.spec.ts","",""
"","2441","not an email","firefox","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","716","Search matches mixed case","chromium","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","464","Verify change order status","webkit","2026-08-09","passed","2026-08-09","Admin Page > Admin Orders","ui/admin/admin.spec.ts","",""
"","1147","Should show the fallback error when placing an order fails with no message","chromium","2026-08-09","passed","2026-08-09","Checkout Page - Order Failures","ui/checkout/checkout.spec.ts","",""
"","551","Empty Order State","firefox","2026-08-09","passed","2026-08-09","Order Page","ui/orders/orders.spec.ts","",""
"","2822","Add product","webkit","2026-08-09","passed","2026-08-09","Cart Page","ui/cart/cart.spec.ts","",""
"","739","Pagination: Navigate to previous page","chromium","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","2902","Verify the placed order details","webkit","2026-08-09","passed","2026-08-09","Order Page","ui/orders/orders.spec.ts","",""
"","1174","Should display profile-error fallback message when PUT /api/users/me returns 500 with empty body","firefox","2026-08-09","passed","2026-08-09","Profile Page - Update Error Handling","ui/profile/profile.spec.ts","",""
"","184","Verify admin users table","chromium","2026-08-09","passed","2026-08-09","Admin Page > Admin Users","ui/admin/admin.spec.ts","",""
"","694","Summary totals under the free-shipping threshold","chromium","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","1931","Filter by category","firefox","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","2484","Verify admin dashboard stats","webkit","2026-08-09","passed","2026-08-09","Admin Page > Admin Dashboard","ui/admin/admin.spec.ts","",""
"","857","Add product","chromium","2026-08-09","passed","2026-08-09","Cart Page","ui/cart/cart.spec.ts","",""
"","3218","Cart persists across reload","webkit","2026-08-09","passed","2026-08-09","Cart Page","ui/cart/cart.spec.ts","",""
"","1123","Search matches mixed case","firefox","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","1021","Should show the fallback error when placing an order fails with no message","firefox","2026-08-09","passed","2026-08-09","Checkout Page - Order Failures","ui/checkout/checkout.spec.ts","",""
"","379","RBAC test with user credentials","chromium","2026-08-09","passed","2026-08-09","rbac Page","ui/admin/rbac.spec.ts","",""
"","4335","Should display profile-error fallback message when PUT /api/users/me returns 500 with empty body","webkit","2026-08-09","passed","2026-08-09","Profile Page - Update Error Handling","ui/profile/profile.spec.ts","",""
"","218","owner should still be able to view their own order","api","2026-08-09","passed","2026-08-09","Order Ownership","api/orders.spec.ts","",""
"","540","Should keep products grid working even if categories API fails with 500","chromium","2026-08-09","passed","2026-08-09","Home Page Network Failures","ui/catalog/home.spec.ts","",""
"","2143","Should show loading spinner when product API is delayed","firefox","2026-08-09","passed","2026-08-09","Home Page Network Failures","ui/catalog/home.spec.ts","",""
"","107","profile update should reject a non-string address field","api","2026-08-09","passed","2026-08-09","Profile Update Validation","api/users.spec.ts","",""
"","669","should update user profile successfully","api","2026-08-09","passed","2026-08-09","User Profile","api/users.spec.ts","",""
"","873","Login test with valid credentials","chromium","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","199","create should reject name shorter than 2 chars","api","2026-08-09","passed","2026-08-09","Product Create Validation","api/products.spec.ts","",""
"","1445","Sort by price (low to high)","webkit","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","920","Cart Item Remove","chromium","2026-08-09","passed","2026-08-09","Cart Page","ui/cart/cart.spec.ts","",""
"","1191","Add product","firefox","2026-08-09","passed","2026-08-09","Cart Page","ui/cart/cart.spec.ts","",""
"","1978","Should show loading spinner when product API is delayed","chromium","2026-08-09","passed","2026-08-09","Home Page Network Failures","ui/catalog/home.spec.ts","",""
"","698","Verify product form error handling","firefox","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","235","should retrieve my order successfully","api","2026-08-09","passed","2026-08-09","Placing Orders","api/orders.spec.ts","",""
"","763","Add to cart from card grid","chromium","2026-08-09","passed","2026-08-09","Product Page","ui/catalog/product.spec.ts","",""
"","109","should update an existing product","api","2026-08-09","passed","2026-08-09","Product Management Tests","api/products.spec.ts","",""
"","2799","Update product","webkit","2026-08-09","passed","2026-08-09","Cart Page","ui/cart/cart.spec.ts","",""
"","208","an order round-trips accented Latin characters","api","2026-08-09","passed","2026-08-09","Order Shipping Address","api/orders.spec.ts","",""
"","15","login should reject a non-string password","api","2026-08-09","passed","2026-08-09","Auth Validation","api/auth.spec.ts","",""
"","1232","empty password","webkit","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","758","register test","firefox","2026-08-09","passed","2026-08-09","Register Page","ui/auth/register.spec.ts","",""
"","791","Product details are displayed correctly","firefox","2026-08-09","passed","2026-08-09","Product Page","ui/catalog/product.spec.ts","",""
"","4039","go to checkout without login","webkit","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","896","admin login","chromium","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","212","should retrieve an order by ID for admin","api","2026-08-09","passed","2026-08-09","Admin Order Management","api/orders.spec.ts","",""
"","2854","Cart Item Remove","webkit","2026-08-09","passed","2026-08-09","Cart Page","ui/cart/cart.spec.ts","",""
"","974","Checkout form accepts non-Latin characters","firefox","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","4259","Place an order and check in my orders list","webkit","2026-08-09","passed","2026-08-09","Order Page","ui/orders/orders.spec.ts","",""
"","902","Verify product creation","firefox","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","197","should update order status for admin","api","2026-08-09","passed","2026-08-09","Admin Order Management","api/orders.spec.ts","",""
"","1228","go to checkout without login","chromium","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","222","order totals with a subtotal a cent under the threshold","api","2026-08-09","passed","2026-08-09","Tax and Shipping Calculation","api/orders.spec.ts","",""
"","1848","Should display the empty state when the orders API returns 500","firefox","2026-08-09","passed","2026-08-09","Order Page - Network Failures","ui/orders/orders.spec.ts","",""
"","1495","Empty Order page matches the baseline visual snapshot","chromium","2026-08-09","passed","2026-08-09","Empty Page - Visual Regression","ui/visual/visual.spec.ts","",""
"","1247","Verify admin orders table","firefox","2026-08-09","passed","2026-08-09","Admin Page > Admin Orders","ui/admin/admin.spec.ts","",""
"","745","Verify product editing","firefox","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","1872","No product found matches the baseline visual snapshot","chromium","2026-08-09","passed","2026-08-09","Empty Page - Visual Regression","ui/visual/visual.spec.ts","",""
"","222","should list all orders for admin","api","2026-08-09","passed","2026-08-09","Admin Order Management","api/orders.spec.ts","",""
"","446","Empty Order State","chromium","2026-08-09","passed","2026-08-09","Order Page","ui/orders/orders.spec.ts","",""
"","190","should create a new product","api","2026-08-09","passed","2026-08-09","Product Management Tests","api/products.spec.ts","",""
"","3974","Place order verification","webkit","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","964","Should display profile-error fallback message when PUT /api/users/me returns 500 with empty body","chromium","2026-08-09","passed","2026-08-09","Profile Page - Update Error Handling","ui/profile/profile.spec.ts","",""
"","13","login should reject a missing password","api","2026-08-09","passed","2026-08-09","Auth Validation","api/auth.spec.ts","",""
"","193","profile update should reject a password shorter than 6 chars","api","2026-08-09","passed","2026-08-09","Profile Update Validation","api/users.spec.ts","",""
"","1122","Place order verification","firefox","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","439","Invalid input","chromium","2026-08-09","passed","2026-08-09","Profile Page New User","ui/profile/profile.spec.ts","",""
"","195","create should reject negative price","api","2026-08-09","passed","2026-08-09","Product Create Validation","api/products.spec.ts","",""
"","818","Place order verification","chromium","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","180","profile update should reject a non-string name","api","2026-08-09","passed","2026-08-09","Profile Update Validation","api/users.spec.ts","",""
"","14","register should reject a password shorter than 6 chars","api","2026-08-09","passed","2026-08-09","Auth Validation","api/auth.spec.ts","",""
"","209","admin orders retrieval should fail for non-admin users","api","2026-08-09","passed","2026-08-09","Placing Orders","api/orders.spec.ts","",""
"","163","Verify admin dashboard stats","chromium","2026-08-09","passed","2026-08-09","Admin Page > Admin Dashboard","ui/admin/admin.spec.ts","",""
"","1096","Checkout form accepts accented Latin characters","firefox","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","1297","Login test with invalid credentials","webkit","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","4480","Verify admin orders table","webkit","2026-08-09","passed","2026-08-09","Admin Page > Admin Orders","ui/admin/admin.spec.ts","",""
"","197","should merge address fields instead of replacing the block","api","2026-08-09","passed","2026-08-09","User Profile","api/users.spec.ts","",""
"","1017","Place an order and check in my orders list","chromium","2026-08-09","passed","2026-08-09","Order Page","ui/orders/orders.spec.ts","",""
"","165","Verify prefilled profile form","chromium","2026-08-09","passed","2026-08-09","Profile Page Existing User","ui/profile/profile.spec.ts","",""
"","3026","Add quantity and cart increment","webkit","2026-08-09","passed","2026-08-09","Product Page","ui/catalog/product.spec.ts","",""
"","215","order totals with a subtotal well over the threshold","api","2026-08-09","passed","2026-08-09","Tax and Shipping Calculation","api/orders.spec.ts","",""
"","464","should not remove the seeded user","api","2026-08-09","passed","2026-08-09","Admin User Management","api/users.spec.ts","",""
"","190","profile update should reject a non-string password","api","2026-08-09","passed","2026-08-09","Profile Update Validation","api/users.spec.ts","",""
"","408","Verify product deletion","firefox","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","830","Update name and address","firefox","2026-08-09","passed","2026-08-09","Profile Page New User","ui/profile/profile.spec.ts","",""
"","1236","Place an order and check in my orders list","firefox","2026-08-09","passed","2026-08-09","Order Page","ui/orders/orders.spec.ts","",""
"","1611","admin login","webkit","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","946","Pagination: Navigate to next page","firefox","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","1105","Login test with valid credentials","firefox","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","118","an order round-trips values far longer than a typical address","api","2026-08-09","passed","2026-08-09","Order Shipping Address","api/orders.spec.ts","",""
"","112","profile update should accept an empty body as a no-op","api","2026-08-09","passed","2026-08-09","Profile Update Validation","api/users.spec.ts","",""
"","1099","Should surface the server message and keep the cart when placing an order fails","firefox","2026-08-09","passed","2026-08-09","Checkout Page - Order Failures","ui/checkout/checkout.spec.ts","",""
"","2102","Verify prefilled profile form","webkit","2026-08-09","passed","2026-08-09","Profile Page Existing User","ui/profile/profile.spec.ts","",""
"","677","Invalid input","firefox","2026-08-09","passed","2026-08-09","Profile Page New User","ui/profile/profile.spec.ts","",""
"","3112","Checkout form accepts accented Latin characters","webkit","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","2983","Pagination: Navigate to next page","webkit","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","401","another user should not be able to view my order","api","2026-08-09","passed","2026-08-09","Order Ownership","api/orders.spec.ts","",""
"","697","Should display not-found state and hide add-to-cart button when product API returns 500","chromium","2026-08-09","passed","2026-08-09","Product Detail Page - Error Handling","ui/catalog/product.spec.ts","",""
"","651","Summary totals over the free-shipping threshold","chromium","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","485","Verify product form error handling","chromium","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","1156","admin login","firefox","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","112","should register successfully with valid data","api","2026-08-09","passed","2026-08-09","Auth Register","api/auth.spec.ts","",""
"","917","Missing address field","firefox","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","371","Verify seeded product cannot be deleted","firefox","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","20","should fail to retrieve an order by ID without authentication","api","2026-08-09","passed","2026-08-09","Order API - Unauthorized Access","api/orders.spec.ts","",""
"","696","Verify admin users table","webkit","2026-08-09","passed","2026-08-09","Admin Page > Admin Users","ui/admin/admin.spec.ts","",""
"","1123","Should display not-found state and hide add-to-cart button when product API returns 500","firefox","2026-08-09","passed","2026-08-09","Product Detail Page - Error Handling","ui/catalog/product.spec.ts","",""
"","194","profile update should reject an address that is not an object","api","2026-08-09","passed","2026-08-09","Profile Update Validation","api/users.spec.ts","",""
"","4220","Update Password and re-login with old password","webkit","2026-08-09","passed","2026-08-09","Profile Page New User","ui/profile/profile.spec.ts","",""
"","3158","Pagination: Navigate to previous page","webkit","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","1635","Empty Order State","webkit","2026-08-09","passed","2026-08-09","Order Page","ui/orders/orders.spec.ts","",""
"","1356","Update Password and re-login with old password","firefox","2026-08-09","passed","2026-08-09","Profile Page New User","ui/profile/profile.spec.ts","",""
"","1777","Verify product editing","webkit","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","120","should fail register with existing email","api","2026-08-09","passed","2026-08-09","Auth Register","api/auth.spec.ts","",""
"","25","Product Query: pagination should return a different slice per page","api","2026-08-09","passed","2026-08-09","Product Query Tests","api/products.spec.ts","",""
"","825","register test","chromium","2026-08-09","passed","2026-08-09","Register Page","ui/auth/register.spec.ts","",""
"","834","Checkout form accepts apostrophes, periods and hyphens","chromium","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","1246","Invalid input","webkit","2026-08-09","passed","2026-08-09","Profile Page New User","ui/profile/profile.spec.ts","",""
"","2225","Search finds nothing for a category name that no product name contains","webkit","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","796","Add quantity and cart increment","chromium","2026-08-09","passed","2026-08-09","Product Page","ui/catalog/product.spec.ts","",""
"","1201","Update product","firefox","2026-08-09","passed","2026-08-09","Cart Page","ui/cart/cart.spec.ts","",""
"","258","should fail to create an order with insufficient stock","api","2026-08-09","passed","2026-08-09","Placing Orders","api/orders.spec.ts","",""
"","771","Missing address field","chromium","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","538","Grid renders seeded products","chromium","2026-08-09","passed","2026-08-09","Home Page","ui/catalog/home.spec.ts","",""
"","227","should retrieve mine orders for admin","api","2026-08-09","passed","2026-08-09","Admin Order Management","api/orders.spec.ts","",""
"","223","Verify admin products table","chromium","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","189","non-admin should not create a product","api","2026-08-09","passed","2026-08-09","Product Management Tests (non-admin user)","api/products.spec.ts","",""
"","4332","Filling values in the checkout form and verify summary","webkit","2026-08-09","passed","2026-08-09","Checkout Page","ui/checkout/checkout.spec.ts","",""
"","1387","Update Password and re-login with old password","chromium","2026-08-09","passed","2026-08-09","Profile Page New User","ui/profile/profile.spec.ts","",""
"","305","admin should be able to view any order","api","2026-08-09","passed","2026-08-09","Order Ownership","api/orders.spec.ts","",""
"","269","Verify admin products table","firefox","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
"","25","register should reject a name shorter than 2 chars","api","2026-08-09","passed","2026-08-09","Auth Validation","api/auth.spec.ts","",""
"","3234","Logout","webkit","2026-08-09","passed","2026-08-09","Login Page","ui/auth/login.spec.ts","",""
"","196","Verify seeded product cannot be deleted","chromium","2026-08-09","passed","2026-08-09","Admin Page > Admin Products","ui/admin/admin.spec.ts","",""
